supplier,customer,edge_weight,known_date
N000,N004,0.3472,2024-01-02
N001,N016,0.1721,2024-01-02
N002,N007,0.1441,2024-01-02
N003,N028,0.0339,2024-01-02
N004,N005,0.122,2024-01-02
N005,N016,0.2308,2024-01-02
N005,N007,0.2696,2024-01-02
N005,N015,0.3322,2024-01-02
N006,N012,0.1968,2024-01-02
N006,N017,0.3143,2024-01-02
N007,N028,0.3186,2024-01-02
N008,N030,0.258,2024-01-02
N008,N016,0.0531,2024-01-02
N009,N000,0.1453,2024-01-02
N009,N019,0.2998,2024-01-02
N009,N031,0.0852,2024-01-02
N010,N006,0.1741,2024-01-02
N010,N003,0.208,2024-01-02
N011,N007,0.1527,2024-01-02
N011,N010,0.0521,2024-01-02
N012,N010,0.3273,2024-01-02
N013,N032,0.1693,2024-01-02
N013,N004,0.2647,2024-01-02
N014,N005,0.3019,2024-01-02
N014,N022,0.2096,2024-01-02
N015,N030,0.0759,2024-01-02
N015,N017,0.2811,2024-01-02
N015,N013,0.0484,2024-01-02
N016,N037,0.1029,2024-01-02
N016,N015,0.2921,2024-01-02
N016,N030,0.2002,2024-01-02
N017,N029,0.2756,2024-01-02
N017,N022,0.145,2024-01-02
N017,N023,0.2931,2024-01-02
N018,N011,0.305,2024-01-02
N019,N026,0.0518,2024-01-02
N020,N035,0.2943,2024-01-02
N020,N036,0.2773,2024-01-02
N021,N007,0.2284,2024-01-02
N022,N009,0.2774,2024-01-02
N022,N036,0.2115,2024-01-02
N023,N019,0.1515,2024-01-02
N024,N019,0.1606,2024-01-02
N024,N036,0.0997,2024-01-02
N025,N002,0.2175,2024-01-02
N025,N001,0.1642,2024-01-02
N026,N016,0.3221,2024-01-02
N026,N036,0.0845,2024-01-02
N026,N017,0.2409,2024-01-02
N027,N030,0.2173,2024-01-02
N028,N001,0.2472,2024-01-02
N028,N038,0.0423,2024-01-02
N029,N000,0.0961,2024-01-02
N029,N038,0.3228,2024-01-02
N029,N015,0.0499,2024-01-02
N030,N021,0.3327,2024-01-02
N030,N002,0.0488,2024-01-02
N031,N017,0.2883,2024-01-02
N032,N013,0.2715,2024-01-02
N032,N006,0.1272,2024-01-02
N032,N020,0.178,2024-01-02
N033,N034,0.2836,2024-01-02
N033,N017,0.247,2024-01-02
N033,N001,0.2426,2024-01-02
N034,N032,0.1232,2024-01-02
N034,N029,0.2269,2024-01-02
N034,N008,0.1781,2024-01-02
N035,N024,0.1139,2024-01-02
N035,N004,0.0375,2024-01-02
N036,N000,0.0968,2024-01-02
N036,N005,0.2036,2024-01-02
N036,N015,0.0473,2024-01-02
N037,N004,0.2005,2024-01-02
N037,N007,0.2532,2024-01-02
N038,N007,0.1778,2024-01-02
N039,N006,0.1563,2024-01-02
N039,N030,0.1715,2024-01-02
N039,N028,0.0961,2024-01-02
