date,node_id,signed_news_shock,n_events
2024-01-02,N029,0.0315,2
2024-01-02,N030,-0.08179,1
2024-01-02,N032,-0.01637,4
2024-01-03,N002,-0.15048,1
2024-01-03,N005,0.02952,3
2024-01-03,N028,-0.10906,2
2024-01-03,N021,0.01395,4
2024-01-04,N012,-0.16242,4
2024-01-04,N019,0.09725,2
2024-01-04,N039,-0.12732,1
2024-01-04,N009,-0.04254,3
2024-01-04,N034,0.07649,3
2024-01-05,N008,-0.04917,3
2024-01-05,N024,-0.03866,1
2024-01-05,N013,-0.12607,1
2024-01-05,N003,0.11627,3
2024-01-05,N027,-0.04563,4
2024-01-08,N025,0.12057,4
2024-01-08,N007,0.13253,1
2024-01-09,N003,-0.03396,1
2024-01-09,N032,-0.26735,3
2024-01-10,N010,-0.09186,2
2024-01-10,N012,0.11112,3
2024-01-11,N036,-0.05776,2
2024-01-11,N015,0.26823,4
2024-01-11,N000,-0.07686,2
2024-01-11,N011,0.08677,4
2024-01-11,N028,0.25882,1
2024-01-12,N001,0.04015,2
2024-01-12,N036,0.01575,3
2024-01-12,N010,0.23495,2
2024-01-15,N023,0.34448,1
2024-01-15,N008,-0.02687,2
2024-01-15,N018,0.05942,2
2024-01-15,N029,-0.15192,3
2024-01-15,N020,0.07658,4
2024-01-15,N003,0.09224,3
2024-01-16,N036,0.06452,4
2024-01-16,N023,0.27998,2
2024-01-17,N009,0.1107,1
2024-01-17,N036,-0.10972,3
2024-01-17,N012,0.07628,1
2024-01-17,N031,0.31474,3
2024-01-18,N021,-0.24905,4
2024-01-18,N007,0.16261,3
2024-01-18,N003,-0.00766,2
2024-01-19,N006,0.1098,4
2024-01-19,N029,0.03954,1
2024-01-19,N018,-0.19354,1
2024-01-22,N013,0.15276,2
2024-01-22,N038,-0.19246,2
2024-01-22,N035,0.11945,3
2024-01-23,N006,-0.13931,1
2024-01-23,N007,-0.23387,1
2024-01-23,N035,0.04611,2
2024-01-24,N012,-0.00154,3
2024-01-24,N022,0.10218,4
2024-01-24,N008,0.07745,4
2024-01-24,N028,-0.14132,3
2024-01-24,N026,-0.18979,1
2024-01-24,N014,-0.13906,3
